po,reg,ibm,account_code,account_name,user,trn_date,trn_time,modes,lines_in_txn,before_qty_total,after_qty_total,net_cancelled_qty,net_cancelled_value,category,source_file,ingested_at
32362548,9885075,8278104,J121M,J C PENNEY CO DIP#20-20182,OESHALOO,7/20/26,14:21:07,DLT-Y,1,6,0,6,98.88,Full deletion,SM Detail Maintenance Report.PDF,2026-07-29T15:14:59
32362548,9885075,8278105,J121M,J C PENNEY CO DIP#20-20182,OESHALOO,7/20/26,14:21:35,DLT-Y,1,6,0,6,98.88,Full deletion,SM Detail Maintenance Report.PDF,2026-07-29T15:14:59
32362548,9885075,8278106,J121M,J C PENNEY CO DIP#20-20182,OESHALOO,7/20/26,14:22:06,DLT-Y,1,18,0,18,296.64,Full deletion,SM Detail Maintenance Report.PDF,2026-07-29T15:14:59
32362548,9885075,8278108,J121M,J C PENNEY CO DIP#20-20182,OESHALOO,7/20/26,14:22:36,DLT-Y,1,12,0,12,197.76,Full deletion,SM Detail Maintenance Report.PDF,2026-07-29T15:14:59
32362548,9885075,8278109,J121M,J C PENNEY CO DIP#20-20182,OESHALOO,7/20/26,14:23:05,DLT-Y,1,6,0,6,98.88,Full deletion,SM Detail Maintenance Report.PDF,2026-07-29T15:14:59
32362548,9885075,8278111,J121M,J C PENNEY CO DIP#20-20182,OESHALOO,7/20/26,14:23:38,DLT-Y,1,6,0,6,98.88,Full deletion,SM Detail Maintenance Report.PDF,2026-07-29T15:14:59
32362548,9885075,8278113,J121M,J C PENNEY CO DIP#20-20182,OESHALOO,7/20/26,14:24:08,DLT-Y,1,6,0,6,98.88,Full deletion,SM Detail Maintenance Report.PDF,2026-07-29T15:14:59
32362548,9885075,8278116,J121M,J C PENNEY CO DIP#20-20182,OESHALOO,7/20/26,14:24:38,DLT-Y,1,6,0,6,98.88,Full deletion,SM Detail Maintenance Report.PDF,2026-07-29T15:14:59
32362548,9885075,8278117,J121M,J C PENNEY CO DIP#20-20182,OESHALOO,7/20/26,14:25:09,DLT-Y,1,6,0,6,98.88,Full deletion,SM Detail Maintenance Report.PDF,2026-07-29T15:14:59
32362548,9885075,8278118,J121M,J C PENNEY CO DIP#20-20182,OESHALOO,7/20/26,14:25:47,DLT-Y,1,6,0,6,98.88,Full deletion,SM Detail Maintenance Report.PDF,2026-07-29T15:14:59
32362548,9885075,8278120,J121M,J C PENNEY CO DIP#20-20182,OESHALOO,7/20/26,14:26:15,DLT-Y,1,6,0,6,98.88,Full deletion,SM Detail Maintenance Report.PDF,2026-07-29T15:14:59
32362548,9885075,8278122,J121M,J C PENNEY CO DIP#20-20182,OESHALOO,7/20/26,14:26:44,DLT-Y,1,6,0,6,98.88,Full deletion,SM Detail Maintenance Report.PDF,2026-07-29T15:14:59
32362548,9885075,8278125,J121M,J C PENNEY CO DIP#20-20182,OESHALOO,7/20/26,14:27:10,DLT-Y,1,6,0,6,98.88,Full deletion,SM Detail Maintenance Report.PDF,2026-07-29T15:14:59
32362548,9885075,8278126,J121M,J C PENNEY CO DIP#20-20182,OESHALOO,7/20/26,14:27:38,DLT-Y,1,6,0,6,98.88,Full deletion,SM Detail Maintenance Report.PDF,2026-07-29T15:14:59
4702160385,9887953,8322750,P300M,POLO FACTORY STORES,OEALEXALAR,7/29/26,11:24:26,DLT-Y,4,36,0,36,302.4,Full deletion,AA Detail Maintenance Report 7-29-26.pdf,2026-07-29T18:06:35
4702152112,9889795,8346203,P300M,POLO FACTORY STORES,OEALEXALAR,7/29/26,11:24:44,CHG,2,300,252,48,806.4,Partial reduction,AA Detail Maintenance Report 7-29-26.pdf,2026-07-29T18:06:35
161945,1483713,8323073,R033M,DENNY'S,OEALEXALAR,7/29/26,11:02:48,DLT-Y,2,48,48,0,0.0,Relabel / reallocation (no net change),2nd AA Detail Maintenance Report 7-29-26.PDF,2026-07-29T18:15:41
